X,Y
5.701934341,+Inf,+Inf
5.802055502,+Inf,+Inf
5.90199555,+Inf,+Inf
6.002065437,+Inf,+Inf
6.102027292,+Inf,+Inf
6.203796134,+Inf,+Inf
6.301996031,+Inf,+Inf
6.405790222,+Inf,+Inf
6.502158985,+Inf,+Inf
6.602074806,+Inf,+Inf
6.7019952499999995,+Inf,+Inf
6.802104716,+Inf,+Inf
6.906249051,+Inf,+Inf
7.002202679,+Inf,+Inf
7.104044821,+Inf,+Inf
7.202008989,+Inf,+Inf
7.302153349,+Inf,+Inf
7.401977998,+Inf,+Inf
7.502078448,+Inf,+Inf
7.605353221,+Inf,+Inf
7.705565192,+Inf,+Inf
7.805905527,+Inf,+Inf
7.902169976,+Inf,+Inf
8.003871338,+Inf,+Inf
8.109820152,+Inf,+Inf
8.201943648,+Inf,+Inf
8.303022962,+Inf,+Inf
8.411998835,+Inf,+Inf
8.5043379,+Inf,+Inf
8.602516613,+Inf,+Inf
8.702492305,+Inf,+Inf
8.802334354,+Inf,+Inf
8.903916167,+Inf,+Inf
9.002362857,+Inf,+Inf
9.102842265,+Inf,+Inf
9.202499711,+Inf,+Inf
9.302755842,+Inf,+Inf
9.402274751,+Inf,+Inf
9.502566011999999,+Inf,+Inf
9.602342322,+Inf,+Inf
9.70244668,+Inf,+Inf
9.802029769,+Inf,+Inf
9.907953299999999,+Inf,+Inf
10.002385044,+Inf,+Inf
10.108322512,+Inf,+Inf
10.204579664,+Inf,+Inf
10.304968931,+Inf,+Inf
10.406540058,+Inf,+Inf
10.501978927,+Inf,+Inf
10.606245084,+Inf,+Inf
10.70320212,+Inf,+Inf
10.806335964,+Inf,+Inf
10.903276782,+Inf,+Inf
11.003338668,+Inf,+Inf
11.102300712,+Inf,+Inf
11.202690949,+Inf,+Inf
11.303421314,+Inf,+Inf
11.4027375,+Inf,+Inf
11.502698331,+Inf,+Inf
11.602164111,+Inf,+Inf
11.702307345,+Inf,+Inf
11.805835219,+Inf,+Inf
11.905885504,+Inf,+Inf
12.002171797,+Inf,+Inf
12.10206152,+Inf,+Inf
12.204386046,+Inf,+Inf
12.305681962,+Inf,+Inf
12.405709262,+Inf,+Inf
12.503847868,+Inf,+Inf
12.604126898,+Inf,+Inf
12.702919395,+Inf,+Inf
12.802092258,+Inf,+Inf
12.906810671,+Inf,+Inf
13.003291751,+Inf,+Inf
13.106920212,+Inf,+Inf
13.203023008,+Inf,+Inf
13.304019719,+Inf,+Inf
13.403858074,+Inf,+Inf
13.507038818,+Inf,+Inf
13.604773607,+Inf,+Inf
13.70203739,+Inf,+Inf
13.805226857,+Inf,+Inf
13.905535488,+Inf,+Inf
14.005761489,+Inf,+Inf
14.106336772,+Inf,+Inf
14.206263678,+Inf,+Inf
14.302514338,+Inf,+Inf
14.401953402,+Inf,+Inf
14.509277745,+Inf,+Inf
14.605912182,+Inf,+Inf
14.7021706,+Inf,+Inf
14.803959079,+Inf,+Inf
14.904593009,+Inf,+Inf
15.004661559,+Inf,+Inf
15.102143497,+Inf,+Inf
15.202708231999999,+Inf,+Inf
15.301994433,+Inf,+Inf
15.405116049,+Inf,+Inf
15.506071507,+Inf,+Inf
15.606892154,+Inf,+Inf
15.705507628,+Inf,+Inf
15.802049203,+Inf,+Inf
15.905729766,+Inf,+Inf
16.005502756,+Inf,+Inf
16.104774901,+Inf,+Inf
16.207026194,+Inf,+Inf
16.305315613,+Inf,+Inf
16.405667818,+Inf,+Inf
16.506632041,+Inf,+Inf
16.606676336,+Inf,+Inf
16.706216628,+Inf,+Inf
16.810467919,+Inf,+Inf
16.906805068,+Inf,+Inf
17.006019421,+Inf,+Inf
17.106406247,+Inf,+Inf
17.203268311,+Inf,+Inf
17.306782506,+Inf,+Inf
17.402908457,+Inf,+Inf
17.506181169,+Inf,+Inf
17.602940804,+Inf,+Inf
17.702080742,+Inf,+Inf
17.802751131,+Inf,+Inf
17.902366711,+Inf,+Inf
18.002148735,+Inf,+Inf
18.103701838,+Inf,+Inf
18.202241961,+Inf,+Inf
18.303104805,+Inf,+Inf
18.402176739,+Inf,+Inf
18.506327979,+Inf,+Inf
18.601890331,+Inf,+Inf
18.702189903,+Inf,+Inf
18.80204619,+Inf,+Inf
18.905515692,+Inf,+Inf
19.002377314,+Inf,+Inf
19.105859543,+Inf,+Inf
19.202898519,+Inf,+Inf
19.302843283,+Inf,+Inf
19.405812708,+Inf,+Inf
19.502043807,+Inf,+Inf
19.605382871,+Inf,+Inf
19.702170668,+Inf,+Inf
19.806824476,+Inf,+Inf
19.90485919,+Inf,+Inf
20.005036384,+Inf,+Inf
20.105346618,+Inf,+Inf
20.205611878,+Inf,+Inf
20.305967506000002,+Inf,+Inf
20.406126513,+Inf,+Inf
20.502557437,+Inf,+Inf
20.606640254,+Inf,+Inf
20.706985647,+Inf,+Inf
20.802616021,+Inf,+Inf
20.902277669,+Inf,+Inf
21.005341969,+Inf,+Inf
21.105571903,+Inf,+Inf
21.203639494,+Inf,+Inf
21.307908839,+Inf,+Inf
21.40481016,+Inf,+Inf
21.502291853,+Inf,+Inf
21.602487714,+Inf,+Inf
21.703611198,+Inf,+Inf
21.802396205,+Inf,+Inf
21.904110195,+Inf,+Inf
22.003043533,+Inf,+Inf
22.102996331,+Inf,+Inf
22.204572518,+Inf,+Inf
22.303466081,+Inf,+Inf
22.407546573,+Inf,+Inf
22.502283342,+Inf,+Inf
22.60813619,+Inf,+Inf
22.702262729,+Inf,+Inf
22.805071942,+Inf,+Inf
22.905388376,+Inf,+Inf
23.002295781,+Inf,+Inf
23.105963476,+Inf,+Inf
23.206778684,+Inf,+Inf
23.306874049,+Inf,+Inf
23.406510509,+Inf,+Inf
23.503050566,+Inf,+Inf
23.607013651,+Inf,+Inf
23.704278696,+Inf,+Inf
23.802461797,+Inf,+Inf
23.905837478,+Inf,+Inf
24.001994821,+Inf,+Inf
24.102235566,+Inf,+Inf
24.205492283,+Inf,+Inf
24.30330581,+Inf,+Inf
24.405904463,+Inf,+Inf
24.507122133,+Inf,+Inf
24.603797214,+Inf,+Inf
24.702516077,+Inf,+Inf
24.802019596,+Inf,+Inf
24.905127064,+Inf,+Inf
25.002827881,+Inf,+Inf
25.104302808,+Inf,+Inf
25.202128039,+Inf,+Inf
25.302295241,+Inf,+Inf
25.402004208,+Inf,+Inf
25.505552474,+Inf,+Inf
25.603565826,+Inf,+Inf
25.703763105,+Inf,+Inf
25.803969014,+Inf,+Inf
25.905185422,+Inf,+Inf
26.002483192,+Inf,+Inf
26.104707012,+Inf,+Inf
26.204955377,+Inf,+Inf
26.30614421,+Inf,+Inf
26.405545915,+Inf,+Inf
26.505956515,+Inf,+Inf
26.603040645,+Inf,+Inf
26.706311873,+Inf,+Inf
26.802727637,+Inf,+Inf
26.904964232,+Inf,+Inf
27.00212719,+Inf,+Inf
27.105039877,+Inf,+Inf
27.203510168,+Inf,+Inf
27.305256238,+Inf,+Inf
27.408685909,+Inf,+Inf
27.502288132,+Inf,+Inf
27.602564393,+Inf,+Inf
27.705541169,+Inf,+Inf
27.8050246,+Inf,+Inf
27.904996435,+Inf,+Inf
28.002304978,+Inf,+Inf
28.104461875,+Inf,+Inf
28.2045147,+Inf,+Inf
28.303821519,+Inf,+Inf
28.405410829,+Inf,+Inf
28.504611757,+Inf,+Inf
28.604998667,+Inf,+Inf
28.704515642,+Inf,+Inf
28.804394088,+Inf,+Inf
28.905194738,+Inf,+Inf
29.005955385,+Inf,+Inf
29.102311238,+Inf,+Inf
29.202273972,+Inf,+Inf
29.302607319,+Inf,+Inf
29.403155488,+Inf,+Inf
29.50624728,+Inf,+Inf
29.602041278,+Inf,+Inf
29.706464347,+Inf,+Inf
29.806790871,+Inf,+Inf
29.905534903,+Inf,+Inf
30.00358528,+Inf,+Inf
